Hour,Lat,Lon
1,40.648265282,-73.955752145
0,40.837321839,-73.9101166
12,40.624236772,-74.080755533
8,40.832111106,-73.948294253
8,40.832111106,-73.948294253
12,40.646328278,-73.929804249
20,40.83987167,-73.888139806
18,40.806617895,-73.936765755
15,40.65758692,-73.92905355
2,40.753874924,-73.98482044
18,40.809413199,-73.944367164
19,40.841690923,-73.837040057
20,40.820986429,-73.892228964
18,40.679066318,-73.915067287
20,40.845984791,-73.907462791
12,40.669758106,-73.802651938
0,40.703807407,-73.952858808
1,40.799086317,-73.947619211
15,40.638689107,-73.916812154
0,40.689141332,-73.820854715
21,40.626986011,-73.914016783
20,40.837683801,-73.913256606
10,40.667862819,-73.905388469
2,40.69119702,-73.835460637
0,40.667533427,-73.86424849
23,40.849776217,-73.937527165
14,40.823423869,-73.901583061
20,40.790325047,-73.941710718
21,40.621066254,-74.084955452
12,40.874180976,-73.833872447
12,40.743417442,-73.878467752
23,40.824798921,-73.908175151
20,40.678435246,-73.927430623
18,40.668529332,-73.848497285
12,40.823876276,-73.891862968
5,40.759150161,-73.960843907
9,40.66357893,-73.896646458
13,40.753532701,-73.994536892
14,40.837129445,-73.867194698
21,40.829952373,-73.930051383
13,40.819320486,-73.915383261
22,40.821455962,-73.866203487
20,40.669372829,-73.920393103
23,40.846278812,-73.89205787
2,40.697233391,-73.78431906
4,40.6784693,-73.782447304
19,40.852381909,-73.913515771
21,40.82294535,-73.95198314
1,40.812699137,-73.921619736
16,40.822262072,-73.940537398
23,40.841944334,-73.914248556
0,40.693415665,-73.848069308
19,40.842803108,-73.897076401
21,40.903468077,-73.844630036
16,40.838778865,-73.864701374
7,40.606351698,-73.941990184
21,40.798285226,-73.962673731
17,40.67278405,-73.866472894
0,40.68773221,-73.937491478
23,40.810524424,-73.938214246
12,40.840783858,-73.936252607
18,40.568827644,-74.121181494
4,40.876743654,-73.90622669
19,40.842803108,-73.897076401
9,40.650957959,-73.955865681
17,40.720450333,-73.97491448
9,40.638667594,-74.022463404
23,40.708227855,-73.912862387
7,40.693140904,-73.945859731
18,40.732876229,-73.860333942
0,40.657743089,-73.909136741
9,40.672585871,-73.873261458
0,40.662518015,-73.927011804
17,40.641068098,-73.962469806
14,40.820663494,-73.956385411
4,40.693702669,-73.780915483
13,40.819718657,-73.942389497
15,40.671168243,-73.909688025
20,40.855961786,-73.839795807
11,40.830798914,-73.826948796
22,40.686395734,-73.949095931
23,40.672674098,-73.861689307
23,40.726529377,-73.734864538
22,40.675309538,-73.788052771
19,40.653674996,-73.96278707
22,40.673324484,-73.91539184
1,40.719840334,-73.962400198
4,40.663341242,-73.96017925
3,40.663133397,-73.962432161
1,40.640366106,-73.890520884
21,40.70284629,-73.812428901
18,40.832941761,-73.935432593
4,40.675646399,-73.927184904
4,40.675646399,-73.927184904
19,40.628089722,-73.946103435
22,40.674986972,-73.945849231
12,40.615912856,-73.920737805
21,40.710739715,-73.803872427
12,40.639163716,-73.994427347
3,40.673341037,-73.932083027
2,40.69726035,-73.977462042
2,40.643506043,-73.902615955
1,40.629597831,-73.942942693
1,40.595792272,-73.984064191
23,40.819778814,-73.936720733
18,40.689567811,-73.832478977
16,40.84711223,-73.91747681
21,40.836266064,-73.911328663
20,40.67459999,-73.930574822
22,40.659114761,-73.923216654
4,40.819596981,-73.918186548
1,40.689819067,-73.831612927
1,40.640790702,-73.932141379
13,40.67941151,-73.858592765
13,40.67941151,-73.858592765
