date,simple,serious,fatal,total
07/01/2012,425,113,0,538
07/02/2012,429,134,1,564
07/03/2012,524,139,1,664
07/04/2012,322,110,0,432
07/05/2012,491,99,1,591
07/06/2012,509,129,0,638
07/07/2012,384,106,0,490
07/08/2012,366,97,1,464
07/09/2012,417,116,0,533
07/10/2012,409,114,1,524
07/11/2012,450,115,0,565
07/12/2012,463,113,1,577
07/13/2012,485,117,1,603
07/14/2012,420,114,2,536
07/15/2012,402,92,0,494
07/16/2012,416,110,2,528
07/17/2012,518,130,0,648
07/18/2012,459,98,1,558
07/19/2012,406,116,0,522
07/20/2012,492,112,0,604
07/21/2012,400,127,1,528
07/22/2012,379,117,2,498
07/23/2012,406,99,0,505
07/24/2012,485,89,0,574
07/25/2012,489,123,0,612
07/26/2012,481,123,0,604
07/27/2012,517,120,0,637
07/28/2012,390,122,1,513
07/29/2012,303,73,0,376
07/30/2012,422,106,2,530
07/31/2012,441,99,0,540
08/01/2012,518,97,0,615
08/02/2012,456,113,1,570
08/03/2012,481,107,1,589
08/04/2012,451,115,1,567
08/05/2012,397,121,0,518
08/06/2012,477,115,1,593
08/07/2012,444,103,0,547
08/08/2012,424,103,1,528
08/09/2012,457,122,2,581
08/10/2012,499,117,1,617
08/11/2012,404,101,2,507
08/12/2012,400,105,0,505
08/13/2012,392,112,0,504
08/14/2012,417,102,1,520
08/15/2012,484,118,0,602
08/16/2012,496,117,0,613
08/17/2012,446,128,0,574
08/18/2012,430,110,0,540
08/19/2012,365,102,0,467
08/20/2012,372,100,1,473
08/21/2012,394,86,2,482
08/22/2012,402,100,2,504
08/23/2012,447,125,2,574
08/24/2012,484,115,2,601
08/25/2012,369,105,0,474
08/26/2012,366,104,1,471
08/27/2012,431,115,2,548
08/28/2012,473,114,0,587
08/29/2012,455,95,0,550
08/30/2012,482,135,1,618
08/31/2012,548,151,2,701
09/01/2012,412,103,0,515
09/02/2012,319,101,1,421
09/03/2012,291,82,0,373
09/04/2012,475,132,0,607
09/05/2012,486,114,1,601
09/06/2012,471,101,0,572
09/07/2012,541,139,0,680
09/08/2012,465,133,0,598
09/09/2012,365,99,0,464
09/10/2012,501,135,1,637
09/11/2012,416,105,0,521
09/12/2012,530,120,1,651
09/13/2012,509,121,2,632
09/14/2012,490,119,0,609
09/15/2012,449,106,2,557
09/16/2012,372,85,1,458
09/17/2012,360,90,2,452
09/18/2012,423,132,1,556
09/19/2012,493,119,0,612
09/20/2012,424,95,3,522
09/21/2012,519,134,1,654
09/22/2012,425,121,1,547
09/23/2012,378,102,0,480
09/24/2012,445,116,1,562
09/25/2012,457,134,2,593
09/26/2012,320,84,0,404
09/27/2012,494,125,1,620
09/28/2012,562,139,2,703
09/29/2012,387,97,1,485
09/30/2012,361,86,2,449
10/01/2012,438,116,1,555
10/02/2012,452,141,0,593
10/03/2012,410,91,1,502
10/04/2012,459,95,0,554
10/05/2012,549,144,0,693
10/06/2012,405,95,0,500
10/07/2012,353,128,0,481
10/08/2012,291,85,0,376
10/09/2012,454,115,1,570
10/10/2012,497,143,0,640
10/11/2012,536,121,0,657
10/12/2012,487,107,0,594
10/13/2012,443,103,1,547
10/14/2012,409,107,1,517
10/15/2012,489,116,2,607
10/16/2012,476,125,1,602
10/17/2012,488,127,0,615
10/18/2012,523,107,0,630
10/19/2012,595,141,2,738
10/20/2012,457,128,2,587
10/21/2012,336,89,1,426
10/22/2012,490,116,2,608
10/23/2012,416,105,1,522
10/24/2012,401,93,0,494
10/25/2012,396,114,1,511
10/26/2012,482,114,2,598
10/27/2012,429,94,1,524
10/28/2012,315,88,0,403
10/29/2012,248,50,0,298
10/30/2012,306,66,0,372
10/31/2012,466,82,1,549
11/01/2012,347,91,1,439
11/02/2012,277,67,1,345
11/03/2012,248,59,0,307
11/04/2012,276,68,0,344
11/05/2012,382,97,0,479
11/06/2012,414,99,1,514
11/07/2012,576,142,0,718
11/08/2012,468,82,0,550
11/09/2012,565,123,0,688
11/10/2012,371,72,1,444
11/11/2012,421,105,0,526
11/12/2012,439,107,0,546
11/13/2012,525,123,0,648
11/14/2012,518,106,1,625
11/15/2012,517,105,1,623
